CLAVE_ENT,ENTIDAD,CVE_REG,REGION
1,AGUASCALIENTES,5,CENTRONORTE
2,BAJA CALIFORNIA,2,NOROESTE
3,BAJA CALIFORNIA SUR,2,NOROESTE
4,CAMPECHE,7,SURESTE
5,COAHUILA,1,NORESTE
6,COLIMA,3,OCCIDENTE
7,CHIAPAS,8,SUROESTE
8,CHIHUAHUA,2,NOROESTE
9,CIUDAD DE MÉXICO,6,CENTROSUR
10,DURANGO,2,NOROESTE
11,GUANAJUATO,5,CENTRONORTE
12,GUERRERO,8,SUROESTE
13,HIDALGO,4,ORIENTE
14,JALISCO,3,OCCIDENTE
15,MÉXICO,6,CENTROSUR
16,MICHOACÁN,3,OCCIDENTE
17,MORELOS,6,CENTROSUR
18,NAYARIT,3,OCCIDENTE
19,NUEVO LEÓN,1,NORESTE
20,OAXACA,8,SUROESTE
21,PUEBLA,4,ORIENTE
22,QUERÉTARO,5,CENTRONORTE
23,QUINTANA ROO,7,SURESTE
24,SAN LUIS POTOSÍ,5,CENTRONORTE
25,SINALOA,2,NOROESTE
26,SONORA,2,NOROESTE
27,TABASCO,7,SURESTE
28,TAMAULIPAS,1,NORESTE
29,TLAXCALA,4,ORIENTE
30,VERACRUZ,4,ORIENTE
31,YUCATÁN,7,SURESTE
32,ZACATECAS,5,CENTRONORTE
